Code Zone,lat,lng
CN-HM7,33.5841444,-7.5569559
CN-HM8,33.5696469,-7.5978056
CN-HM9,33.5841444,-7.5569559
CN-AS1,33.5601471,-7.5562708
CN-AS3,33.6059943,-7.5387936
CN-AS4,33.6059943,-7.5387936
CN-AS5,33.6059943,-7.5387936
CN-AS6,33.6059943,-7.5387936
CN-AS7,33.6059943,-7.5387936
CN-AS9,33.6059943,-7.5387936
CN-AS10,33.6059943,-7.5387936
CN-AS11,33.6059943,-7.5387936
CN-AS12,33.6059943,-7.5387936
CN-SB1,33.6190686,-7.5003234
CN-SB3,33.6190686,-7.5003234
CN-SB4,33.6190686,-7.5003234
CN-SB5,33.6190686,-7.5003234
CN-SB6,33.6059992,-7.5051027
CN-SB7,33.6190686,-7.5003234
CN-SB8,33.6190686,-7.5003234
CN-SB9,33.6190686,-7.5003234
CN-SB10,33.6190686,-7.5003234
CN-SB11,33.6190686,-7.5003234
CN-SB12,33.6190686,-7.5003234
CN-SB13,33.6190686,-7.5003234
CN-SB14,33.6190686,-7.5003234
CN-SM1,33.5843834,-7.5072051
CN-SM2,33.60308,-7.4873629
CN-SM4,33.5843834,-7.5072051
CN-SM5,33.5843834,-7.5072051
CN-SM6,33.5843834,-7.5072051
CN-SM7,33.5843834,-7.5072051
CN-SM8,33.5843834,-7.5072051
CN-SM9,33.5843834,-7.5072051
CN-SM10,33.5843834,-7.5072051
CS-AC1,33.5370603,-7.5981542
CS-AC2,33.5370603,-7.5981542
CS-AC5,33.5370603,-7.5981542
CS-AC6,33.5565917,-7.5985122
CS-AC7,33.5370603,-7.5981542
CS-AC8,33.5370603,-7.5981542
CS-AC9,33.5370603,-7.5981542
CS-AC10,33.5370603,-7.5981542
CS-AC11,33.5370603,-7.5981542
CS-AC12,33.5370603,-7.5981542
CS-AC14,33.5370603,-7.5981542
CS-AC16,33.5370603,-7.5981542
CS-AC17,33.5370603,-7.5981542
CS-AC18,33.5370603,-7.5981542
CS-AC19,33.5370603,-7.5981542
CS-AC20,33.5370603,-7.5981542
