Rang,Code Zone,Zone,Arrondissement,Prix m² (DH),Score_Accessibilite,Score_Amenites,Score_Environnement,Score_Prestige,Score_Attractivite
98,CS-AC24,"Lot Al Massarra, Hay Inara 3, Hay El Ousra, Hay Yasmina 5, Hay El Fadl, Lot Salima, Lot Ghita, Lot Karim, Lot Blad Marbouha, Lot Lalla Khadija, Lot Al Idaâ, Lot Al Idaâ 2, Lot Al Moustakbal, Hay El Fath",Ain Chock,13722.0,67.1,24.4,44.7,23.4,28.2
99,CS-AC9,"Quadruple délimité par Bd Taddart (Sud), Bd Panoramique (Ouest), Av. Oulad Haddou (Nord) et Bd de Fès (Est) : Lot Hifdia, Lot Nezha, Lot Madania, Lot Cage, Lot Miyamar, Lot Al Manara, Lot Kenza, Lot Siham, Lot Salwa (Seloua)",Ain Chock,14643.0,67.1,24.4,44.7,23.2,28.0
100,CC-AF4,Hay El Masjid,Al Fida,13286.0,84.0,27.9,58.5,20.5,27.9
101,CS-AC21,"Quadruple délimité par Av. de Dakhla (Sud), Bd de Fès (Ouest), Av. 2 Mars (Nord) et Espace vert - Equipement projeté (Est) : Lot Haddaouia 2, Lot Touzaniya , Lot Naima",Ain Chock,13583.0,67.1,24.4,44.7,22.8,27.6
102,CS-AC26,"Lot Assalam, Lot Othmane",Ain Chock,13056.0,67.1,24.4,44.7,22.8,27.6
103,CN-RN13,"Hay Hakam, Hay Laâyoune, Douar Oulad Harres, Hay Minou, Hay Adil, Hay Al Massira, Hay Dakhla, Hay Lamyaâ, Quartier les Cimétières, Hay Azzeddine, Hay Mourad",Roches Noires,11167.0,82.4,24.8,40.0,21.2,27.6
104,CC-MS5,Quartier La Gironde Ouest délimité par la Voie de Chemin de Fer,Mers Sultan,17000.0,80.3,27.4,46.6,20.6,27.5
105,CS-AC14,"Quadruple délimité par Bd Taddart (Sud), Bd El Qods (Ouest), Axe Voirie AC05 (Nord) et Axe Voirie AC15 (Est) exception faite du GH Safa Tranche 1 : Lot Mandarona (Mandarouna), Jnane Californie, Les Ecoles Riad, Lycée Abdelkrim Khettabi",Ain Chock,13088.0,67.1,24.4,44.7,22.5,27.2
106,CC-MS8,"Quartier Mers Sultan, Quartier 2 Mars",Mers Sultan,15312.0,84.0,28.3,51.0,18.9,26.4
107,CN-RN12,"Hay Jamal, Lot Ghizlane",Roches Noires,11357.0,81.2,16.8,49.6,21.8,26.0
108,CS-HH30,"Lot Zaytoune, GH Essalam, Lot Ibn Khaldoun 2",Hay Hassani,12800.0,63.8,36.7,62.3,18.2,25.9
109,CN-RN11,Hay Tissir 2 (Tissir 1 relève de l'Arrondissement Al Fida),Roches Noires,12000.0,81.2,16.8,49.6,21.5,25.7
110,CS-HH16,Lot Saâd El Kheir (El Khair),Hay Hassani,13833.0,63.8,36.7,62.3,17.7,25.4
111,CS-HH1,Bd Ghandi exception faite de Rce Ghandi,Hay Hassani,14786.0,63.8,36.7,62.3,17.7,25.4
112,CC-MS12,Quartier El Miter 2 (El Miter Sud délimité par Bd 2 Mars),Mers Sultan,13375.0,80.3,27.4,46.6,18.3,25.2
113,CN-RN9,"Quadruple délimité par Rue Sergent Med Moussaoui, Bd Ibn Tachfine, Les Cimétières et Rte des Ouled Ziane : Ain Borja, Cité Oualed Ziane, Lot Laâyoune, Rce Yassine (angle Rte des Ouled Ziane et Bd Hassan Alaoui), Hay Amine, Hay Souarat, Hay Arsalane, Rce Assalam, Rce Smail, Rce Amane, Rce Salam (FAR), Quartier les Camps",Roches Noires,10250.0,81.2,16.8,49.6,20.4,24.6
114,CS-AC27,"Lot Ibn Khaldoune, Lot Mandarouna 1",Ain Chock,13350.0,67.1,24.4,44.7,19.8,24.6
115,CS-HH27,"Lot Lissasfa 1, 2 et 3, Lot Tahla, Lissasfa Oulya, QI Lissasfa, Kasbat Amine (Social), Grand Moulin Lissasfa",Hay Hassani,10375.0,63.8,36.7,62.3,16.6,24.4
116,CC-MS10,"Hay Essorour, Quartier Al Alami",Mers Sultan,15300.0,80.3,27.4,46.6,17.5,24.4
117,CS-AC16,"Hay Inara 1, Lot Dhar, Lot Arrachidiya, Lot Mehdia, Lot Imane, Cité Oued Al Makhazine",Ain Chock,12194.0,67.1,24.4,44.7,19.3,24.1
118,CC-AF9,"Derb Tarablouse, Quartier Grigouane, Derb Laqriaâ/Korea Est délimité par la Rue 5",Al Fida,14349.0,84.6,31.2,49.3,15.0,23.5
119,CS-AC31,"Lot Hamza, Lot Al Moustakbal, Lot Hafid El Kheir, Lot Al Mansour, Rce Al Mawlid, Rce Al Madina, Rce Nakhil",Ain Chock,12778.0,67.1,24.4,44.7,18.5,23.3
120,CC-AF5,"Hay Al Woroud, Hay El Andalous 2, Mosquée Essonna",Al Fida,15200.0,84.6,31.2,49.3,14.8,23.2
121,CC-MS9,"Quartier Habous, Hay Dakhla, Quartier Mechouar",Mers Sultan,11062.0,77.5,39.5,61.9,12.2,22.1
122,CS-HH24,"Zone délimitée par Bd Ibnou Sina, Bd Oued Oum Rabia, Av. C, Bd Oued Oum Rabia, Bd Oued Draâ et Bd Oued Abou Regreg : Hay Saâda (Mazola), Lot Missimi, Hay El Ward, Lot Al Badii, Rce Kasba, Rce Ibnou Sina, Marjane Hay Hassani, Lycée Abdelaziz El Fachtali",Hay Hassani,12455.0,63.8,36.7,62.3,14.2,22.0
123,CS-HH5,"Zone délimitée par Bd Sidi Abderrahman, Rue d'Ifrane, Rue de l'Atlas, Bd Ibnou Sina, Rue de Hassan, Rue de Tamsna, Rue Ain Chifa et Rue de Jabal Al Aâroui : CIL, Lot Messaoudia, Hay Essalam Ouest délimité par les Rues Atlas et Ifrane",Hay Hassani,14300.0,63.8,36.7,62.3,14.1,21.9
124,CS-HH6,"Zone délimitée par Bd Sidi Abderrahman, Rue d'Ifrane, Rue de l'Atlas, Bd Ghandi et Bd Yacoub El Mansour : Hay Essalam Est délimité par les Rues Atlas et Ifrane, Quartier/Rce Al Mansour, Quartier/Rce des Bases, Cité des Jeunes",Hay Hassani,14000.0,63.8,36.7,62.3,14.1,21.9
125,CC-AF3,"Hay Bine Lamdoune 1, Hay El Andalous 1, Hay Sidi Maârouf 3, 4, 5 et 6",Al Fida,13500.0,84.6,31.2,49.3,12.9,21.4
126,CC-AF2,Marché Korea/Souk Laqriaâ,Al Fida,13025.0,84.6,31.2,49.3,12.9,21.4
