Code Zone,lat,lng,distance_vol_oiseau_km,temps_voiture_estime_min,nb_arrets_bus_500m,nb_arrets_tramway_500m,nb_taxis_500m,nb_ecoles_1km,nb_hopitaux_2km,nb_cliniques_2km,nb_pharmacies_500m,nb_supermarches_500m,nb_epiceries_500m,nb_mosquees_500m,nb_banques_1km,nb_restaurants_500m
CS-AC21,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC22,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC23,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC24,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC25,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC26,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC27,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC28,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC31,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC32,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC34,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-HH1,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH2,33.5695318,-7.652312,3.956,12.3,10,0,0,8,4,15,6,3,1,1,42,2
CS-HH4,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH5,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH6,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH7,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH8,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH9,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH11,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH12,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH13,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH14,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH15,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH16,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH17,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH19,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH20,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH22,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH23,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH24,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH25,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH26,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH27,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH28,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH29,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH30,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
CS-HH31,33.5351648,-7.6917004,9.231,28.8,2,0,0,4,0,0,2,0,0,1,4,0
CS-HH32,33.5702887,-7.678495,5.969,18.6,11,0,0,20,3,5,4,1,0,3,20,0
