osm_id,lat,lon
8692601,33.6090614,-7.6313081
8692601,33.6090837,-7.6316429
8692601,33.6091954,-7.6340225
8692601,33.6091686,-7.6340976
8692601,33.6091061,-7.6341619
8692601,33.6082821,-7.6342546
8692601,33.6074467,-7.634302
8692601,33.6072686,-7.6340809
8692601,33.6070552,-7.6341077
8692601,33.6069581,-7.6341509
8692601,33.6068861,-7.6342431
8692601,33.6067763,-7.6346552
8692601,33.6067281,-7.6347847
8692601,33.6066413,-7.6350344
8692601,33.6066483,-7.6351438
8692601,33.6066148,-7.6352683
8692601,33.6058444,-7.6365493
8692601,33.6056988,-7.6368004
8692601,33.6056243,-7.6369195
8692601,33.6054735,-7.6371689
8692601,33.605417,-7.6372923
8692601,33.6050159,-7.6389002
8692601,33.6048145,-7.6399137
8692621,33.6062582,-7.5806844
8692621,33.6069036,-7.5810533
8692621,33.6070697,-7.5811575
8692621,33.6097913,-7.5829153
8692621,33.6097698,-7.5829697
8692621,33.6097363,-7.5830354
8692621,33.6097207,-7.5830743
8692621,33.6094057,-7.5836617
8692621,33.607469,-7.5825191
8692621,33.607297,-7.5829035
8692621,33.6072061,-7.5831068
8692621,33.6071129,-7.5833152
8692621,33.6070186,-7.5835259
8692621,33.6068874,-7.5838721
8692621,33.6074049,-7.5842469
8692621,33.6068405,-7.5855093
8692621,33.608425,-7.5864914
8692621,33.6091443,-7.5848848
8692621,33.6099776,-7.5854158
8692621,33.6099932,-7.5855339
8692621,33.6099396,-7.585617
8692621,33.6098458,-7.5856519
8692621,33.6092315,-7.5852549
8692621,33.6086358,-7.586626
8692621,33.6099642,-7.5874195
8692621,33.6100289,-7.5873363
8692621,33.612361,-7.5823125
8692621,33.6124437,-7.5820872
8692621,33.6124034,-7.5818807
8692621,33.6124504,-7.5818136
8692621,33.6125911,-7.5818217
8692621,33.6126737,-7.5819773
8692621,33.6126402,-7.582098
8692621,33.6098681,-7.5882617
8692621,33.6100175,-7.5883563
8692621,33.6137258,-7.5907038
8692621,33.6137303,-7.5907736
8692621,33.6136789,-7.5908339
8692621,33.6135974,-7.5908071
8692621,33.6135348,-7.5907628
8692621,33.6135304,-7.5906891
8692621,33.6133048,-7.590555
8692621,33.6130602,-7.5910069
8692621,33.6083112,-7.5880149
8692621,33.6081458,-7.5883877
8692621,33.6100937,-7.5896135
8692621,33.6097363,-7.5904235
8692621,33.6092382,-7.590107
8692621,33.6091801,-7.5902385
8692621,33.6096576,-7.5905462
8692621,33.6095483,-7.5907905
8692621,33.6111436,-7.5917909
8692621,33.6110763,-7.5919547
8692621,33.6107055,-7.5917189
8692621,33.6105761,-7.5919889
8692621,33.6122278,-7.5930561
8692621,33.6121482,-7.5932662
8692621,33.6130133,-7.5937736
8692621,33.6131696,-7.5939935
8692621,33.613259,-7.5942993
8692621,33.6128033,-7.5976896
8692621,33.6127206,-7.5976843
8692621,33.612609,-7.597931
8692621,33.6078264,-7.594876
8692621,33.6077817,-7.5949886
8692621,33.6075583,-7.5948545
8692621,33.6075181,-7.5948626
8692621,33.6074667,-7.5949216
8692621,33.6073372,-7.5952783
8692621,33.6073254,-7.5954576
8692621,33.6072586,-7.5956319
8692621,33.6072442,-7.5956694
8692621,33.6072002,-7.595756
8692621,33.6070557,-7.5960401
8692621,33.6069284,-7.596083
8692621,33.6065933,-7.5958711
8692621,33.6064481,-7.5956404
8692621,33.6061845,-7.5954339
8692621,33.6059454,-7.595332
8692621,33.6058184,-7.5953869
8692621,33.6057153,-7.5954902
8692621,33.6056077,-7.5956263
8692621,33.6055478,-7.5960186
8692621,33.605626,-7.5960884
8692621,33.6055411,-7.5964907
8692621,33.6057154,-7.5966462
8692621,33.6056439,-7.5968018
8692621,33.6098636,-7.5995135
8692621,33.6097318,-7.5997898
8692621,33.6097922,-7.5998434
8692621,33.6085367,-7.6026678
8692621,33.6110844,-7.6042905
8692621,33.6105874,-7.6054493
8692621,33.6021611,-7.6001358
8692621,33.6021231,-7.600227
9861704,33.6253225,-7.5286335
9861704,33.6247424,-7.5286348
9861704,33.6240669,-7.5300749
9861704,33.6236178,-7.5310661
9861704,33.6233704,-7.5317985
9861704,33.6231219,-7.5320775
9861704,33.6224068,-7.5328252
9861704,33.6221995,-7.533182
9861704,33.6208957,-7.5353551
9861704,33.6206478,-7.5354919
9861704,33.6205049,-7.5358781
9861704,33.6204669,-7.5362992
9861704,33.6204446,-7.5366774
9861704,33.6203843,-7.5377342
9861704,33.6202815,-7.5395608
