category,osm_id,osm_type,name,subtype,lat,lon,address,city,phone,website,dist_motorway_m,dist_primary_m,dist_secondary_m,road_accessibility_score
banque_finance,5664725437,node,Attijariwafa Bank التجاري وفا بنك,bank,33.5568278,-7.6828028,Boulevard d'Oued Oum Rabia,,,,5529.0,1737.0,9.0,0.485
banque_finance,5664897325,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.559862,-7.6745,,,,,5735.0,1768.0,43.0,0.428
banque_finance,5664897326,node,Attijariwafa Bank التجاري وفا بنك,bank,33.5600207,-7.6748917,Boulevard d'Oued Oum Rabia,,,,5756.0,1733.0,11.0,0.482
banque_finance,5664897327,node,Saham Bank سهام بنك,bank,33.5596865,-7.6749372,Boulevard d'Oued Oum Rabia,,,,5719.0,1762.0,8.0,0.487
banque_finance,5664897328,node,WafaCash,bank,33.5596564,-7.6749252,Boulevard d'Oued Oum Rabia,,,,5716.0,1765.0,12.0,0.48
banque_finance,5664897329,node,BMCI Bank,bank,33.5593971,-7.6760222,Boulevard d'Oued Oum Rabia,,,,5698.0,1736.0,17.0,0.472
banque_finance,5667323176,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5941041,-7.629788,,,,,9253.0,26.0,36.0,0.758
banque_finance,5667590615,node,Banque Populaire البنك الشعبي,bank,33.5646011,-7.6681115,Boulevard d'Oued Oum Rabia,Casablanca,,,6236.0,1435.0,19.0,0.468
banque_finance,5667590621,node,,atm,33.5647246,-7.6681486,,,,,6250.0,1421.0,19.0,0.468
banque_finance,5667590623,node,BMCI Bank,bank,33.5648033,-7.6681655,Boulevard d'Oued Oum Rabia,,,,6259.0,1412.0,22.0,0.463
banque_finance,5668011891,node,Credit Agricole Du Maroc,bank,33.5721682,-7.6747917,Boulevard d'Afghanistan,,,,7100.0,454.0,22.0,0.463
banque_finance,5668012037,node,Crédit du Maroc مصرف المغرب,bank,33.5699568,-7.6720417,Boulevard Ibn Sina,,,,6839.0,767.0,27.0,0.455
banque_finance,5668012421,node,BMCI Bank,bank,33.5700683,-7.6719976,Boulevard Ibn Sina,,,,6851.0,756.0,24.0,0.46
banque_finance,5670372110,node,BMCI Bank,bank,33.5669727,-7.6839897,Route Sidi Al Khadir,,,,6653.0,637.0,17.0,0.472
banque_finance,5670372342,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.566129,-7.6831757,,,,,6546.0,755.0,13.0,0.478
banque_finance,5670372347,node,Wafa Cash,bank,33.5656943,-7.6830214,Route Sidi Al Khadir,,,,6495.0,804.0,12.0,0.48
banque_finance,5670372379,node,Banque Populaire البنك الشعبي,bank,33.5671322,-7.6770993,Boulevard Oued Laou,,,,6564.0,934.0,28.0,0.453
banque_finance,5670372380,node,CIH Bank القرض العقاري والسياحي,bank,33.5672689,-7.6771725,Boulevard Oued Laou,,,,6580.0,917.0,44.0,0.427
banque_finance,5670372389,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5674301,-7.6771468,,,,,6598.0,902.0,59.0,0.402
banque_finance,5670403177,node,Banque Populaire البنك الشعبي,bank,33.5327459,-7.6828913,,,,,3000.0,589.0,42.0,0.43
banque_finance,5670829657,node,Attijariwafa Bank التجاري وفا بنك,bank,33.5764295,-7.6731604,Boulevard Sidi Abderrahmane,,,,7563.0,40.0,17.0,0.736
banque_finance,5670829666,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5767296,-7.6733674,,,,,7597.0,13.0,15.0,0.779
banque_finance,5670829667,node,CIH Bank القرض العقاري والسياحي,bank,33.5768106,-7.6736622,Boulevard Sidi Abderrahmane,,,,7608.0,18.0,34.0,0.771
banque_finance,5670832666,node,Banque Populaire البنك الشعبي,bank,33.5145981,-7.646251,Route Sidi Massoud,,,,1851.0,1264.0,13.0,0.478
banque_finance,5670832671,node,BMCI البنك المغربي للتجارة والصناعة,bank,33.5146339,-7.6464307,Route Sidi Massoud,,,,1858.0,1278.0,15.0,0.475
banque_finance,5670833143,node,Al Barid Bank,bank,33.5278147,-7.6495944,Boulevard Abu Baker El Kadiri,,,,2776.0,466.0,14.0,0.477
banque_finance,5670833148,node,Banque Populaire البنك الشعبي,bank,33.5281735,-7.6494254,Boulevard Abu Baker El Kadiri,,,,2817.0,423.0,23.0,0.462
banque_finance,5670833155,node,BMCI Bank,bank,33.5308219,-7.6485403,Boulevard Abu Baker El Kadiri,,,,3100.0,120.0,16.0,0.608
banque_finance,5670833160,node,Bank Assafa بنك الصفاء,bank,33.5309986,-7.6484893,Boulevard Abu Baker El Kadiri,,,,3118.0,101.0,11.0,0.638
banque_finance,5670833165,node,Saham Bank سهام بنك,bank,33.531505,-7.6483244,Boulevard Abu Baker El Kadiri,,,,3173.0,46.0,18.0,0.726
banque_finance,5673327591,node,BMCI Bank,bank,33.5500113,-7.6765265,Avenue Mohamed Taib Naciri,,,,4671.0,1612.0,6.0,0.49
banque_finance,5673409133,node,Attijariwafa Bank التجاري وفا بنك,bank,33.5547585,-7.6780868,Boulevard Oued Tensift,,,,5215.0,2083.0,23.0,0.462
banque_finance,5673410028,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5149587,-7.6474513,,,,,1911.0,1355.0,11.0,0.482
banque_finance,5673410235,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5106175,-7.6564434,,,,,1147.0,930.0,34.0,0.443
banque_finance,5673410240,node,Attijarawafa Bank,bank,33.5114572,-7.6561537,,,,,1196.0,938.0,34.0,0.443
banque_finance,5673410248,node,Saham Bank سهام بنك,bank,33.512676,-7.6557219,,,,,1277.0,960.0,29.0,0.452
banque_finance,5673410258,node,Attijarawafa Bank,bank,33.5157185,-7.6545672,Boulevard Abu Baker El Kadiri,,,,1526.0,1005.0,16.0,0.473
banque_finance,5673410263,node,Crédit Agricole du Maroc القرض الفلاحي للمغرب,bank,33.515903,-7.6543553,Boulevard Abu Baker El Kadiri,,,,1553.0,1022.0,24.0,0.46
banque_finance,5673410273,node,BMCI Bank,bank,33.5169004,-7.6539235,Boulevard Abu Baker El Kadiri,,,,1647.0,1056.0,15.0,0.475
banque_finance,5673410284,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5171374,-7.6537934,,,,,1672.0,1068.0,21.0,0.465
banque_finance,5673410293,node,Banque Populaire البنك الشعبي,bank,33.5179122,-7.6533589,Boulevard Abu Baker El Kadiri,,,,1756.0,1108.0,38.0,0.437
banque_finance,5673410297,node,Crédit du Maroc مصرف المغرب,bank,33.518109,-7.6532315,Boulevard Abu Baker El Kadiri,,,,1778.0,1120.0,19.0,0.468
